Chip's t-shirt launcher accident|t-shirtLauncherAccident
Ralphie|Ralphie
That one time on the Hill|oneTimeOnHill
Cosmo's Pizza|Cosmo's
17 Yerba Mate's in an hour|17Yerbas
The RA knock|RAKnock
The College of Engineering|collegeOfEngineering
Crippling nicotine addiction|nivotineAddiction
People standing at the burger counter at Farrand|thoseFuckingIdiotsWhoFeelTheNeedToStandAtTheCounterInFarrandAndMakeEveryoneElseWhoWantsABurgerWantToKillThemselves
Business students|businessStudents
A boosted board|gay
Hitting someone with your bike|bikeAccidents
Selling fake Buff One cards|fakeBuffOne
All nighters|allNighters
Stealing all the room numbers in a dorm|stealingRoomNumbers
Turning Farrand Field into a parking lot|FarrandParkingLot
All of the homework|allTheHomework
People who leave laundry in the washer|leavingLaundry
Cody Waterman|Cody
Laviska Shenault the King|LaviskaShenault
Asian food from the C4C|C4CAsianFood
Leaving food in the fridge over break|leavingFoodInFridge
Freshmen|freshman
5th Year Seniors|5thYearSeniors
Walking in the biking lane|walkingInBikeLane
APPM Wednesdays|APPMWednesdays
CU Wifi|CUWifi
People with AirPods|superior
Getting locked out of your dorm room|lockedOutOfRoom
Forgetting interview grading|interviewGrading
Having to buy blue books|blueBooks
Losing your clicker|clickers
Spending all your campus cash in the first month|campusCash
Chip, the lovable mascot|ChipTheLovableMascot
Sko Buffs|skoBuffs
Stealing a tray from Farrand|stealingTray
Coming back from the Hill at 3am|comingBackFromHill
CU Buffs|CUBufs
The pathetic CAM the Ram|camTheRam
Welcome Week|welcomeWeek
COEN class|COEN
Benjamin Hall|isRetarded
Falling off a bike|fallingOfBike
Tripping in the middle of a crowd|trippingInCrowd
Burgers from Farrand|FarrandBurgers
Throwing snowballs at a football game|snowballAtFootballGame
Going to office hours|officeHours
Asking your RA the hard questions|askingRAHardQuestions
Going to the Library to study|Library
Forgetting you're here to get a degree|forgettingDegree
Dropping out|droppingOut
Getting lost in the engineering center|lostInEngineeringCenter
Art majors|artMajors
Insomnia Cookies|InsomniaCookies
Constant anxiety|anxiety
